Unnamed: 0,x_i,x_j
0,"terry said , let me",me me me me me me me me me me
1,i have forever dreamed of belonging to callias,to to to to to to to to
2,kyle started yipping then changed to,-------
3,and i happen to know this side of,bebebebebebebebebe
4,i think he feels ...,I feel I feel I feel I feel I
5,"his name was josh , and according to",to to to to to to to
6,i dig my fingers into her hips and,she she she she she she she she she
7,he had no doubt they could get inside,and and and and and and and and and and
8,victoria had always known that since her aunt,--------
9,the most popular kids got their,she she she she she she she she she she she she
