Unnamed: 0,x_i,x_j
0,"terry said , let me",know if you have any questions.
1,i have forever dreamed of belonging to callias,.
2,kyle started yipping then changed to,a more aggressive style.
3,and i happen to know this side of,"the story, i'm not sure if i can say it's true or not, but i'm sure it's true."
4,i think he feels ...,"""I think he's a good player."
5,"his name was josh , and according to","the Bible, he was the son of Jotun , and he was the son of Jotun , and he was the son of Jotun , and he was the son of Jotun"
6,i dig my fingers into her hips and,pull her back into the bed.
7,he had no doubt they could get inside,the building.
8,victoria had always known that since her aunt,"was a woman, she would be the one to take her place."
9,the most popular kids got their,first taste of the new-age food.
