Unnamed: 0,x_i,x_j,Label
0,he held her back and,and pulled her close.,Gemini
1,none of her previous boyfriends had,ever been so understanding.,Gemini
2,"our clothes quickly disappeared , until we stood","naked, exposed to the elements.",Gemini
3,but dagmar was not some mindless,automaton; she was a woman of considerable intelligence and cunning.,Gemini
4,"she paused , obviously",clearly weighing her options.,Gemini
5,"he was bleeding al over her , giving",giving her a look of sheer terror.,Gemini
6, always said the law was,was a tool for the powerful.,Gemini
7,"now , mr. phelps , if you could have bruce",get Bruce on the phone for me.,Gemini
8," it 's my fault , ''","she whispered, tears welling in her eyes.",Gemini
9,"honestly , if i had n't been the","the one who suggested this, I might have chosen differently.",Gemini
10,"yes , i believe my mother",was keeping a terrible secret.,Gemini
11,"but she had something he wanted , so",he did whatever it took to get it.,Gemini
12,the guy in the movie ended up as,"a broken, lonely man.",Gemini
13,i had to admit now that,I was wrong.,Gemini
14,"then he shifted , his",expression turned cold and hard.,Gemini
15, i 'm a great one,at making up excuses.,Gemini
16,"by midnight , she could man the end","of the shift, completely exhausted.",Gemini
17," stay- '' bill shouted ,",Get out of here!,Gemini
18,before i knew it he was inside,"my apartment, and immediately felt unsafe.",Gemini
19,"she was right , but",but I couldn't ignore the truth.,Gemini
20,"he opened his mouth , eyed brandon",with a calculating gaze.,Gemini
21,"even in the club that first night ,",I felt a strange energy between us.,Gemini
22, maybe another time,Maybe another time would be better suited.,Gemini
23,"and in the next moment , keira had",had vanished.,Gemini
24,"they said nothing , but seeming to sense","her fear, they offered a silent comfort.",Gemini
25,"hello , said her nocturna , quite calmly","Welcome, she said, her voice smooth and low.",Gemini
26,i think it 's time for mary,to move on with her life.,Gemini
27,they would go out in the yard and toss a,a ball.,Gemini
28,"they bore down on me relentlessly , they",they were relentless in their pursuit.,Gemini
29,"a moment later , her",eyes snapped open in alarm.,Gemini
30,wil and betty had noticed,a strange noise coming from upstairs.,Gemini
31,melissa had felt the two shooting down the,the two planes colliding in mid-air.,Gemini
32,and lastly by a,"a last-minute change of plans, the event was postponed.",Gemini
33,never once did david 's,eyes ever wavered from his goal.,Gemini
34, i 'll tell you mine if you,tell me yours first.,Gemini
