Unnamed: 0,x_i,x_j,Label
0,he held her back and,looked at her.,GPT_NEO
1,none of her previous boyfriends had,been in the same room with her.,GPT_NEO
2,"our clothes quickly disappeared , until we stood","in the middle of the street, and then we walked to the police station.",GPT_NEO
3,but dagmar was not some mindless,", unthinking,",GPT_NEO
4,"she paused , obviously",not to be surprised.,GPT_NEO
5,"he was bleeding al over her , giving",her a headache.,GPT_NEO
6, always said the law was,not to be applied to the  defendant’s conduct.,GPT_NEO
7,"now , mr. phelps , if you could have bruce",you would have to be a bit more careful about what you do with your hair.,GPT_NEO
8," it 's my fault , ''","'I'm not going to do it, ''  'I'm not going to do it,",GPT_NEO
9,"honestly , if i had n't been the","ne to tell you that you were a liar, you would have been a liar.",GPT_NEO
10,"yes , i believe my mother","was a very good cook, and she was very good at cooking.",GPT_NEO
11,"but she had something he wanted , so",he had to get it.,GPT_NEO
12,the guy in the movie ended up as,the guy in the movie.,GPT_NEO
13,i had to admit now that,he was a bit of a fool.,GPT_NEO
14,"then he shifted , his",eyes on the ground.,GPT_NEO
15, i 'm a great one,to work with.,GPT_NEO
16,"by midnight , she could man the end","of the world, but she was not going to let it go.",GPT_NEO
17," stay- '' bill shouted ,",'' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '',GPT_NEO
18,before i knew it he was inside,the house.,GPT_NEO
19,"she was right , but",I don't think she's a good person to be around.,GPT_NEO
20,"he opened his mouth , eyed brandon","and said, ""I'm sorry, I'm not going to be able to do this.",GPT_NEO
21,"even in the club that first night ,",the club was in the middle of a relegation battle.,GPT_NEO
22, maybe another time,", but I'm not sure if it's a good idea to do it.",GPT_NEO
23,"and in the next moment , keira had",to be taken to the hospital.,GPT_NEO
24,"they said nothing , but seeming to sense",that the man was in a state of shock.,GPT_NEO
25,"hello , said her nocturna , quite calmly","""I'm sorry, I'm sorry,"" she said.",GPT_NEO
26,i think it 's time for mary,to get back to her own life.,GPT_NEO
27,they would go out in the yard and toss a,ball.,GPT_NEO
28,"they bore down on me relentlessly , they",were not the only ones.,GPT_NEO
29,"a moment later , her","eyes were closed, and she was still breathing.",GPT_NEO
30,wil and betty had noticed,that the  defendant had been drinking.,GPT_NEO
31,melissa had felt the two shooting down the,stairs.,GPT_NEO
32,and lastly by a,"great deal of work, and I have been able to find a good place for my own house,",GPT_NEO
33,never once did david 's,son ever see the world.,GPT_NEO
34, i 'll tell you mine if you,want to.,GPT_NEO
35,great volleys of rock and debris broke off and came,to a halt.,GPT_NEO
36, we did not have sex,with him.,GPT_NEO
37,i would never be,able to do it.,GPT_NEO
38, but i 've lived all,my life in a house with a dog.,GPT_NEO
39,"fellas were always around ,",and the rest of the world was a little bit more distant.,GPT_NEO
40,not when my heart still belonged to lil,"'  I'm not sure if I'm going to be able to get through this, but I'm going to be able to get through this.",GPT_NEO
41,there was no possible way,to get the data from the database.,GPT_NEO
42,"bitterly , she thought that everything fit together","""I'm sorry,"" she said.",GPT_NEO
43," she 's ill , she 's in","bad way, she's in a bad way,",GPT_NEO
44,"no , ummm ... '' i glanced",t the screen and saw that the screen was a little blurry.,GPT_NEO
45, i did n't trust you to keep,it up.,GPT_NEO
46, then why do you no,longer have a chance to get a job?  I have a job.,GPT_NEO
47,jessie went on sucking through the rolled-up card,".  ""I'm sorry, I didn't mean to,",GPT_NEO
48,devon quirked an eyebrow ; a flicker,"of the eyes, a smile,",GPT_NEO
49,she 'd been killed in a ,,GPT_NEO
50,i trusted ethan even though,he was not a member of the group.,GPT_NEO
51,"the more i think about it , the worse i","think about it, the more i think about it,",GPT_NEO
52,gavin never moved a muscle to,the right side of the body.,GPT_NEO
53,daegmund wrenched his eyes with some difficulty,".  ""I'm sorry,"" he said. ""I'm sorry.""  ""I'm sorry,",GPT_NEO
54,he reached into the back pocket of his pants,"and pulled out a small, plastic bag.",GPT_NEO
55, i wish we had taken the hover car,.  I was in the middle of a long drive and I was in the middle of a long drive. I was in the middle of a long drive. I was in the middle of a long drive,GPT_NEO
56,"in a moment ,",and then he was gone.,GPT_NEO
57,the living twin choosing either to go after,"the other, or to go after the other.",GPT_NEO
58,there is an older,"version of the game, and the game is not as good as the original.",GPT_NEO
59,her best friend was another victim of his othello,".  ""I'm sorry,"" he said. ""I didn't mean to hurt you.""  ""I'm sorry,",GPT_NEO
60,i felt my pulse start to race as,I looked at the screen.,GPT_NEO
61," you can un-name it ,","but you can also use the following code to un-name the file: $file = ""file.",GPT_NEO
62,"it did n't , of course , but","was a good thing, because it was a good thing,",GPT_NEO
63, we 're still going,to be a little bit more careful with the new code.,GPT_NEO
64,the flames leaped and spat with each addition,of the water.,GPT_NEO
65, usually when a snake strikes defensively,".  The game is a bit of a mystery,",GPT_NEO
66," next thing you know , you women",are not going to be able to get a job in the next few years.,GPT_NEO
67,he stated there would be no camping outthat,night.,GPT_NEO
68, i want to sleep,.  A:  You can use the sleep() method to sleep the current thread. #include <iostream>  using namespace std;  int main() {     int,GPT_NEO
69,i 'd say we 're,"going to be in the middle of a big game, and we're going to be in the middle of a big game.",GPT_NEO
70,"beyond that , although finch ca n't see","t, but it is not.",GPT_NEO
71,the blinds were drawn shut and she could,"see the crowded crowd of people, and the crowd of people who were standing in the street.",GPT_NEO
72,heavy-duty antiplow skirts were mounted to,the front of the vehicle.,GPT_NEO
73,because youre going to be,"a part of the team, and you're going to be a part of the team.",GPT_NEO
74,"i walked alone , a lot , in","he middle of the night, and I was in the middle of the night,",GPT_NEO
75,you will use the word,"""solution"" in the following sentence.",GPT_NEO
76,maria stepped down from the coach and walked,to the door.,GPT_NEO
77,he did not say anything,about the fact that he was not a member of the  state’s police force.,GPT_NEO
78,i let out my breath as the,wind blew in my face.,GPT_NEO
79,"keep your mind on the game , jared","is the best player in the world, he is the best player in the world,",GPT_NEO
80,"since his skill set was hard to replace ,",he was able to get the job done in a very short time.,GPT_NEO
81,i thought only twenty-somethings,were going to be able to do it.,GPT_NEO
82,"he paused for a moment , but then","he said, ""I'm not sure what you're talking about.",GPT_NEO
83, i do n't know ...,jrib> jrib: you can use the command line to do that <jrib> jrib: you can use the command line to do that <jrib> jrib: you can,GPT_NEO
84,"the night is quiet , allowing all",the birds to rest and the birds to rest.,GPT_NEO
85,"and , i guessed",it was a good idea to have a few more people in the room.,GPT_NEO
86,he moved his eyes from hers to look,at her.,GPT_NEO
87,she would n't rest easy until he was,done with it.,GPT_NEO
88,i play and meg is always right there,.  I'm not sure if I'm the only one who thinks this is a good idea. I'm not sure if I'm the only one who thinks this is a good idea. I'm not,GPT_NEO
89," no , because he 's been dreaming",bout it for a long time.,GPT_NEO
90,she remained where she was,", and she was not there.",GPT_NEO
91,anderson 's brows came together,"'I'm not sure I can do this,' he said.",GPT_NEO
92,"i think june is leaning over me , but i","think june is leaning over me, but i think june is leaning over me,",GPT_NEO
93,it 's that girl from the bar that,"I was in the middle of, and I was going to get her to come in and take her to the bar.",GPT_NEO
94, we might as well save a few,hours of sleep.,GPT_NEO
95,"um , yeah , i got a flat","creen, but i can't get it to work.",GPT_NEO
96, what would amma,be?  A:  The answer is yes.,GPT_NEO
97,thats why his mothers moving,to the city were not happy with him.,GPT_NEO
98,she tries to scramble for her things,", but she is too tired to do so.",GPT_NEO
99,i could tell he was putting it together in,a hurry.,GPT_NEO
100,and so did a self-inflicted handjob,".  ""I'm sorry,",GPT_NEO
101,if you can afford this,",",GPT_NEO
102,maybe it was because he called,"her a whore, and she was a whore,",GPT_NEO
