Unnamed: 0,x_i,x_j,Label
0,he held her back and,"said, ""I'm sorry, I'm sorry.",GPT2
1,none of her previous boyfriends had,been in the same apartment as her.,GPT2
2,"our clothes quickly disappeared , until we stood","in the middle of the street, and the man who had been standing there, was standing there with his hands in his pockets, and he was looking at us with a look of disgust.",GPT2
3,but dagmar was not some mindless,", mindless,",GPT2
4,"she paused , obviously",not expecting to hear anything.,GPT2
5,"he was bleeding al over her , giving",her a bad look.,GPT2
6, always said the law was,"not to be broken, but to be done.",GPT2
7,"now , mr. phelps , if you could have bruce",", mr.",GPT2
8," it 's my fault , ''",'''''''''''''''''''''''''''',GPT2
9,"honestly , if i had n't been the","one to do it, i'd have been dead.",GPT2
10,"yes , i believe my mother",was a good person.,GPT2
11,"but she had something he wanted , so",he took her to the hospital.,GPT2
12,the guy in the movie ended up as,"a man in a suit, and he was a man in a suit,",GPT2
13,i had to admit now that,he was not the only one who had been affected by the situation.,GPT2
14,"then he shifted , his","hands on his hips, and he was still holding his breath.",GPT2
15, i 'm a great one,", and I am glad to have you.",GPT2
16,"by midnight , she could man the end",of the world.,GPT2
17," stay- '' bill shouted ,",'' 'I'm not going to vote for this bill.,GPT2
18,before i knew it he was inside,me.,GPT2
19,"she was right , but",I'm not sure if she's right or not.,GPT2
20,"he opened his mouth , eyed brandon","with a smile , ""I'm sorry, but I'm not going to be able to do this anymore.",GPT2
21,"even in the club that first night ,",and I was just so excited to see him.,GPT2
22, maybe another time,".""I'm not going to be able to do that,",GPT2
23,"and in the next moment , keira had",to be rescued by the other members of the group.,GPT2
24,"they said nothing , but seeming to sense",that the man was not in the right place at the right time.,GPT2
25,"hello , said her nocturna , quite calmly",", said, ""I don't know what you're talking about, but I'm not going to tell you anything.",GPT2
26,i think it 's time for mary,to get back to work.,GPT2
27,they would go out in the yard and toss a,ball at the wall.,GPT2
28,"they bore down on me relentlessly , they","were like a pack of wolves , they were like a pack of wolves ,",GPT2
29,"a moment later , her",voice was still trembling.,GPT2
30,wil and betty had noticed,that the two were in a state of shock.,GPT2
31,melissa had felt the two shooting down the,same day.,GPT2
32,and lastly by a,group of people who are not even aware of the existence of the group.,GPT2
