Unnamed: 0,x_i
0,he held her back and
1,none of her previous boyfriends had
2,"our clothes quickly disappeared , until we stood"
3,but dagmar was not some mindless
4,"she paused , obviously"
5,"he was bleeding al over her , giving"
6, always said the law was
7,"now , mr. phelps , if you could have bruce"
8," it 's my fault , ''"
9,"honestly , if i had n't been the"
10,"yes , i believe my mother"
11,"but she had something he wanted , so"
12,the guy in the movie ended up as
13,i had to admit now that
14,"then he shifted , his"
15, i 'm a great one
16,"by midnight , she could man the end"
17," stay- '' bill shouted ,"
18,before i knew it he was inside
19,"she was right , but"
20,"he opened his mouth , eyed brandon"
21,"even in the club that first night ,"
22, maybe another time
23,"and in the next moment , keira had"
24,"they said nothing , but seeming to sense"
25,"hello , said her nocturna , quite calmly"
26,i think it 's time for mary
27,they would go out in the yard and toss a
28,"they bore down on me relentlessly , they"
29,"a moment later , her"
30,wil and betty had noticed
31,melissa had felt the two shooting down the
32,and lastly by a
33,never once did david 's
34, i 'll tell you mine if you
35,great volleys of rock and debris broke off and came
36, we did not have sex
37,i would never be
38, but i 've lived all
39,"fellas were always around ,"
40,not when my heart still belonged to lil
41,there was no possible way
42,"bitterly , she thought that everything fit together"
43," she 's ill , she 's in"
44,"no , ummm ... '' i glanced"
45, i did n't trust you to keep
46, then why do you no
47,jessie went on sucking through the rolled-up card
48,devon quirked an eyebrow ; a flicker
49,she 'd been killed in a 
50,i trusted ethan even though
51,"the more i think about it , the worse i"
52,gavin never moved a muscle to
53,daegmund wrenched his eyes with some difficulty
54,he reached into the back pocket of his pants
55, i wish we had taken the hover car
56,"in a moment ,"
57,the living twin choosing either to go after
58,there is an older
59,her best friend was another victim of his othello
60,i felt my pulse start to race as
61," you can un-name it ,"
62,"it did n't , of course , but"
63, we 're still going
64,the flames leaped and spat with each addition
65, usually when a snake strikes defensively
66," next thing you know , you women"
67,he stated there would be no camping outthat
68, i want to sleep
69,i 'd say we 're
70,"beyond that , although finch ca n't see"
71,the blinds were drawn shut and she could
72,heavy-duty antiplow skirts were mounted to
73,because youre going to be
74,"i walked alone , a lot , in"
75,you will use the word
76,maria stepped down from the coach and walked
77,he did not say anything
78,i let out my breath as the
79,"keep your mind on the game , jared"
80,"since his skill set was hard to replace ,"
81,i thought only twenty-somethings
82,"he paused for a moment , but then"
83, i do n't know ...
84,"the night is quiet , allowing all"
85,"and , i guessed"
86,he moved his eyes from hers to look
87,she would n't rest easy until he was
88,i play and meg is always right there
89," no , because he 's been dreaming"
90,she remained where she was
91,anderson 's brows came together
92,"i think june is leaning over me , but i"
93,it 's that girl from the bar that
94, we might as well save a few
95,"um , yeah , i got a flat"
96, what would amma
97,thats why his mothers moving
98,she tries to scramble for her things
99,i could tell he was putting it together in
100,and so did a self-inflicted handjob
101,if you can afford this
102,maybe it was because he called
103,"no , i think im okay for now"
104,the sufferers turned blue-black with
105,you and the sword of light
106,you have enough to think about and our relationship
107,the other vampire held out a bundle to
108,the man had been leaving a crime
109," relax , allyson , ''"
110,"that would have been bad , but this"
111,"the trees , islands , and even the"
112,he traced the word with his
113, we 'll walk the rest of
114,where in the hell do you get off
115,"the closer we got to callum , the"
116,"'as the head of al mokhabarat , i"
117, you were just asking me
118,that had been their destination just before the
119,"she held up her hands , palms out in"
120,a plastic container of what looked like curry hadnt
121,maybe because they looked at him and
122,"nathan bought good stuff , name-brand chocolate ,"
123," god , i 'm"
124,sofia gave a weak nod but
125,and so the elders received the youngling and
126,i seriously think that someone
127, sounds like i hit
128,there is no guidebook on how to be
129, you were supposed to
130,so far all he 's done is gesture
131,she put as much love into opening the
132,only a dork would have gone out of
133,she was reacting like
134,"we stood on stage ,"
135,"i stood there , in shock"
136," i gave it to someone else , someone"
137,he said nothing as
138,i lounged back in the chair and kicked out
139,"the world lurched , and"
140," no , i do n't , ''"
141,i 'll call you in
142,ryan 's hands were bloody from his
143,if archer was valerie 's version of a
144,"he expected the cabin to smell musty ,"
145," you drink blood all the time , ''"
